species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Aligator southern gar,southern garfish,Hyporhamphus melanochir,,Julung-julung,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Hyporhamphus melanochir ; Hyporhamphus melanochir fish ; ikan Aligator southern gar ; southern garfish fish,100
Aligatorfish,aligatorfish,Lepisus peus,,Aligator,"LAUT, TAWAR",NON KONSUMSI,HIAS,TIDAK,HIGH,Lepisus peus ; Lepisus peus fish ; ikan Aligatorfish ; aligatorfish fish,100
Aligatorfish spotted,spotted gar,Lepistosteus ocelatus ; Lepistosteus oculatus,,Aligator,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Lepistosteus ocelatus ; Lepistosteus ocelatus fish ; Lepistosteus oculatus ; Lepistosteus oculatus fish ; ikan Aligatorfish spotted ; spotted gar fish,100
Alu-alu,great barracuda,Sphyraena barracuda ; Sphyraena obtusata ; Sphyraena qenie,alu-alu; baracuda; barangasa; barracuda; buna; dolok; kalasowa; kocol; kucul; langsar; lengko; manggilala; pelling bangrasa; pengaluan; pucul; senuk; sigalu; snul; tancak,Alu-alu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Sphyraena barracuda ; Sphyraena barracuda fish ; Sphyraena obtusata ; Sphyraena obtusata fish ; Sphyraena qenie ; Sphyraena qenie fish ; ikan Alu-alu ; great barracuda fish,100
Ambangan,silverspotted seabass,Acropoma argentistigma,,Kakap,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Acropoma argentistigma ; Acropoma argentistigma fish ; ikan Ambangan ; silverspotted seabass fish,100
Ambangan merah,silver seabream,Pagrus auratus,,Kakap,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Pagrus auratus ; Pagrus auratus fish ; ikan Ambangan merah ; silver seabream fish,100
Ande ande,double-lined mackerel,Grammatorcynus bilineatus,,Slengseng,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Grammatorcynus bilineatus ; Grammatorcynus bilineatus fish ; ikan Ande ande ; double-lined mackerel fish,100
Anemon condylactis gigantea,giant caribbean anemone,Condylactis gigantea,,Anemon,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Condylactis gigantea ; Condylactis gigantea fish ; ikan Anemon condylactis gigantea ; giant caribbean anemone fish,100
Anemon entacmea quadricolor,bulb-tentacle sea anemone,Entacmaea quadricolor,,Anemon,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Entacmaea quadricolor ; Entacmaea quadricolor fish ; ikan Anemon entacmea quadricolor ; bulb-tentacle sea anemone fish,100
Anggur laut,seagrapes; green caviar,Caulerpa lentillifera ; Caulerpa sertularioides ; Cymodocea serrulata ; Euchema denticulatum ; Gelidium cartilagineum ; Gelidium corneum ; Gelidium crinale ; Gelidium pannosum ; Gelidium pusilium ; Gelidium rigidum ; Gracilariopsis longissima ; Hydropuntia edulis ; Kappaphycus striatum ; Portiteria hornemannii ; Sargassum aquofilum ; Sargassum crassifolium ; Sargassum duplicatum ; Sargassum echinocarpum ; Sargassum gracillimun ; Sargassum histrix ; Sargassum macrophyllum ; Sargassum muticum ; Sargassum obtusifolium ; Sargassum policystum ; Sargassum polyceratium ; Sargassum vulgare ; Turbinaria frondens ; Ulva lactuca,agar-agar karang (indonesia); atau iotu4otu putih (ambon); bali); bulung boni (bali); bulung embulung (jawa; bulung sangu (bali); bulung tombong putih (labuhanhaji; dongi-dongi (sulawesi); ganggang hijau; janggut dayung (bangka); latoh (pulau jawa dan lombok); lawi-lawi (sulsel); lombok); rumput laut; sacol; sango-sango; sango-sango (sulsel),Rumput laut,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Turbinaria frondens ; Turbinaria frondens fish ; Cymodocea serrulata ; Cymodocea serrulata fish ; Gelidium cartilagineum ; Gelidium cartilagineum fish ; Gelidium corneum ; Gelidium corneum fish ; Gelidium crinale ; Gelidium crinale fish ; Gelidium pannosum ; Gelidium pannosum fish ; Gelidium pusilium ; Gelidium pusilium fish ; Gelidium rigidum ; Gelidium rigidum fish ; Portiteria hornemannii ; Portiteria hornemannii fish ; Sargassum aquofilum ; Sargassum aquofilum fish ; Sargassum crassifolium ; Sargassum crassifolium fish ; Sargassum duplicatum ; Sargassum duplicatum fish ; Sargassum echinocarpum ; Sargassum echinocarpum fish ; Sargassum gracillimun ; Sargassum gracillimun fish ; Sargassum histrix ; Sargassum histrix fish ; Sargassum macrophyllum ; Sargassum macrophyllum fish ; Sargassum muticum ; Sargassum muticum fish ; Sargassum obtusifolium ; Sargassum obtusifolium fish ; Sargassum polyceratium ; Sargassum polyceratium fish ; Sargassum policystum ; Sargassum policystum fish ; Sargassum vulgare ; Sargassum vulgare fish ; Ulva lactuca ; Ulva lactuca fish ; Caulerpa lentillifera ; Caulerpa lentillifera fish ; Caulerpa sertularioides ; Caulerpa sertularioides fish ; Euchema denticulatum ; Euchema denticulatum fish ; Gracilariopsis longissima ; Gracilariopsis longissima fish ; Hydropuntia edulis ; Hydropuntia edulis fish ; Kappaphycus striatum ; Kappaphycus striatum fish ; ikan Rumput laut ; brown algae; yellow cup coral fish,100
Angler,angler,Lophius piscatorius,,Monkfish,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Lophius piscatorius ; Lophius piscatorius fish ; ikan Angler ; angler fish,100
Anjer eye-bar goby,eye-bar goby,Gnatholepis anjerensis,,Gobi,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Gnatholepis anjerensis ; Gnatholepis anjerensis fish ; ikan Anjer eye-bar goby ; eye-bar goby fish,100
Anthias,anthias,Dactylanthias aplodactylus,,Anthias,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Dactylanthias aplodactylus ; Dactylanthias aplodactylus fish ; ikan Anthias ; anthias fish,100
Antoan,red tailed fusilier; yellowblack fusilier,Caesio xanthonota,pisang-pisang ekor merah; buah-buah; ekor kuning; rappo-rappo,Pisang-pisang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Caesio xanthonota ; Caesio xanthonota fish ; ikan Antoan ; red tailed fusilier; yellowblack fusilier fish,100
Apollo topi hitam,severns' wrasse,Pseudojulodes severnsi,,Bayeman,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Pseudojulodes severnsi ; Pseudojulodes severnsi fish ; ikan Apollo topi hitam ; severns' wrasse fish,100
Ari ungai inggir utih,luvitrygon signifer,Fluvitrygon Signifer,hiteimmed tingray,PARI,TAWAR,,,YA,HIGH,Fluvitrygon Signifer ; Fluvitrygon Signifer fish ; ikan Ari ungai inggir utih ; luvitrygon signifer fish,100
Arothron carduus,arothron carduus,Arothron carduus,,Buntal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Arothron carduus ; Arothron carduus fish ; ikan Arothron carduus ; arothron carduus fish,100
Arothron gillbanksii,arothron gillbanksii,Arothron gillbanksii,,Buntal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Arothron gillbanksii ; Arothron gillbanksii fish ; ikan Arothron gillbanksii ; arothron gillbanksii fish,100
Artemia,brine shrimp,Artemia salina,,Udang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Artemia salina ; Artemia salina fish ; ikan Artemia ; brine shrimp fish,100
Aru rainbowfish,aru rainbowfish,Melanotaenia aruensis,pelangi aru (aru; maluku),Rainbow,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Melanotaenia aruensis ; Melanotaenia aruensis fish ; ikan Aru rainbowfish ; aru rainbowfish fish,100
Arwana,asian bonytongue,Scleropages formosus,siluk; kayangan; kelesa; naga; arwana; arowana; tengkeloso,Arwana,TAWAR,NON KONSUMSI,HIAS,YA,HIGH,Scleropages formosus ; Scleropages formosus fish ; ikan Arwana ; asian bonytongue fish,100
Arwana irian,usatralian bonytongue,Scleropages Jardinii,,ARWA,TAWAR,,,YA,HIGH,Scleropages Jardinii ; Scleropages Jardinii fish ; ikan Arwana irian ; usatralian bonytongue fish,100
Asa,asa ish,Schismatorhynchos Heterorhynchos,,MAS,TAWAR,,,YA,HIGH,Schismatorhynchos Heterorhynchos ; Schismatorhynchos Heterorhynchos fish ; ikan Asa ; asa ish fish,100
Asin pakang,kammal thryssa,Thryssa kammalensis,,Teri,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Thryssa kammalensis ; Thryssa kammalensis fish ; ikan Asin pakang ; kammal thryssa fish,100
Asuan,long-face emperor,Lethrinus miniatus,ketamba,Lencam,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Lethrinus miniatus ; Lethrinus miniatus fish ; ikan Asuan ; long-face emperor fish,100
Atuririâ€™s pygmy goby,atuririâ€™s pygmy goby,Trimma aturirii,,Gobi,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Trimma aturirii ; Trimma aturirii fish ; ikan Atuririâ€™s pygmy goby ; atuririâ€™s pygmy goby fish,100
Ayam ceplok,clown triggerfish,Balistoides conspicillum,triger ceplok,Ayam-ayam,"LAUT, PAYAU",NON KONSUMSI,HIAS,TIDAK,HIGH,Balistoides conspicillum ; Balistoides conspicillum fish ; ikan Ayam ceplok ; clown triggerfish fish,100
Ayam-ayam,smoothspine leatherjacket,Cantheschenia longipinnis ; Canthidermis sufflamen ; Oligoplites saurus,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Cantheschenia longipinnis ; Cantheschenia longipinnis fish ; Canthidermis sufflamen ; Canthidermis sufflamen fish ; Oligoplites saurus ; Oligoplites saurus fish ; ikan Ayam-ayam ; smoothspine leatherjacket fish,100
Ayam-ayam broom,broom filefish,Amanses scopas,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Amanses scopas ; Amanses scopas fish ; ikan Ayam-ayam broom ; broom filefish fish,100
Ayam-ayam fanbelly,fanbelly filefish,Monacanthus chinensis,bembeg; kambing; ayam-ayam,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Monacanthus chinensis ; Monacanthus chinensis fish ; ikan Ayam-ayam fanbelly ; fanbelly filefish fish,100
Ayam-ayam greenfin,greenfin horsefaced filefish,Thamnaconus septentrionalis,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Thamnaconus septentrionalis ; Thamnaconus septentrionalis fish ; ikan Ayam-ayam greenfin ; greenfin horsefaced filefish fish,100
Ayam-ayam gulf,gulf filefish,Paramonacanthus arabicus,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Paramonacanthus arabicus ; Paramonacanthus arabicus fish ; ikan Ayam-ayam gulf ; gulf filefish fish,100
Ayam-ayam hairfin,hairfin filefish,Paramonacanthus japonicus,bembeg; kambing; ayam-ayam,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Paramonacanthus japonicus ; Paramonacanthus japonicus fish ; ikan Ayam-ayam hairfin ; hairfin filefish fish,100
Ayam-ayam large-scaled leather,large-scaled leatherjacket,Cantheschenia grandisquamis,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Cantheschenia grandisquamis ; Cantheschenia grandisquamis fish ; ikan Ayam-ayam large-scaled leather ; large-scaled leatherjacket fish,100
Ayam-ayam manyspot,manyspot filefish,Thamnaconus tesselatus,bembeg; kambing; ayam-ayam,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Thamnaconus tesselatus ; Thamnaconus tesselatus fish ; ikan Ayam-ayam manyspot ; manyspot filefish fish,100
Ayam-ayam pig faced leather jacket,pig faced leather jacket,Paramonacanthus choirocephalus,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Paramonacanthus choirocephalus ; Paramonacanthus choirocephalus fish ; ikan Ayam-ayam pig faced leather jacket ; pig faced leather jacket fish,100
Ayam-ayam potbelly,potbelly filefish,Pseudomonacanthus peroni,bembeg; kambing; nan,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pseudomonacanthus peroni ; Pseudomonacanthus peroni fish ; ikan Ayam-ayam pot-bellied ; pot-bellied leatherjacket fish,100
Ayam-ayam prickly,prickly leatherjacket,Chaetodermis penicilligerus,sonang rambutan,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Chaetodermis penicilligerus ; Chaetodermis penicilligerus fish ; ikan Ayam-ayam prickly ; prickly leatherjacket fish,100
Ayam-ayam radial,radial leatherjacket,Acreichthys radiatus,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Acreichthys radiatus ; Acreichthys radiatus fish ; ikan Ayam-ayam radial ; radial leatherjacket fish,100
Ayam-ayam red--tailed,red--tailed leatherjacket,Pervagor janthinosoma,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pervagor janthinosoma ; Pervagor janthinosoma fish ; ikan Ayam-ayam red--tailed ; red--tailed leatherjacket fish,100
Ayam-ayam rhinoceros,rhinoceros leatherjacket,Pseudaluteres nasicornis,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pseudaluteres nasicornis ; Pseudaluteres nasicornis fish ; ikan Ayam-ayam rhinoceros ; rhinoceros leatherjacket fish,100
Ayam-ayam unicorn,unicorn leatherjacket,Aluterus monoceros,bembeg; kambing; ayam-ayam; barat-barat,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Aluterus monoceros ; Aluterus monoceros fish ; ikan Ayam-ayam unicorn ; unicorn leatherjacket fish,100
Ayam-ayam wirenet,wirenet filefish,Cantherhines pardalis,bembeg; kambing; ayam-ayam,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Cantherhines pardalis ; Cantherhines pardalis fish ; ikan Ayam-ayam wirenet ; wirenet filefish fish,100
Ayam-ayam yellowmargin,yellowmargin triggerfish,Pseudobalistes flavimarginatus,ampala kuba; ampala mira,Ayam-ayam,"LAUT, PAYAU",KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Pseudobalistes flavimarginatus ; Pseudobalistes flavimarginatus fish ; ikan Kambing-kambing yellowmargin ; yellowmargin triggerfish fish,100
Ayama-ayam largescale,largescale triggerfish,Canthidermis macrolepis,,Ayam-ayam,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Canthidermis macrolepis ; Canthidermis macrolepis fish ; ikan Ayama-ayam largescale ; largescale triggerfish fish,100
Ayu,ayu sweetfish,Plecoglossus altivelis,,Ayu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Plecoglossus altivelis ; Plecoglossus altivelis fish ; ikan Ayu ; ayu sweetfish fish,100
Badur,yellowlined snapper,Lutjanus rufolineatus,sala; sasageh,Kakap,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Lutjanus rufolineatus ; Lutjanus rufolineatus fish ; ikan Badur ; yellowlined snapper fish,100
Baji-baji sebra,black banded trevally [kingfish],Seriolina nigrofasciata,baji-baji sebra; tentengkek; datu; selar koneng,Selar,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Seriolina nigrofasciata ; Seriolina nigrofasciata fish ; ikan Baji-baji sebra ; black banded trevally [kingfish] fish,100
Bajuku,malaysian giant turtle,Orlitia Borneensis,,LABI,TAWAR,,,YA,HIGH,Orlitia Borneensis ; Orlitia Borneensis fish ; ikan Bajuku ; malaysian giant turtle fish,100
Bambangan,crimson snapper,Lutjanus erythropterus,kai; raran; sara; nunuk; kakap sawu; kakap tungku; kakap telo,Kakap,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Lutjanus erythropterus ; Lutjanus erythropterus fish ; ikan Bambangan ; crimson snapper fish,100
Bambangan/kakap merah,malabar red snapper,Lutjanus malabaricus,koni meinte; ine,Kakap,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Lutjanus malabaricus ; Lutjanus malabaricus fish ; ikan Bambangan/kakap merah ; malabar red snapper fish,100
Bambu laut,sea bamboo,Isis Hippuris,,KARA,LAUT,,,YA,HIGH,Isis Hippuris ; Isis Hippuris fish ; ikan Bambu laut ; sea bamboo fish,100
Bandeng,milkfish,Chanos chanos,bolu (sulawesi),Bandeng,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Chanos chanos ; Chanos chanos fish ; ikan Bandeng ; milkfish fish,100
Bandeng laki,longjaw bonefish; pacific bonefish,Albula argentea,cerucut,Bandeng,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Albula argentea ; Albula argentea fish ; ikan Bandeng laki ; longjaw bonefish; pacific bonefish fish,100
Bandeng lelaki,hawaiian ladyfish,Elops hawaiensis,bandeng lanang,Bandeng,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Elops hawaiensis ; Elops hawaiensis fish ; ikan Bandeng lelaki ; hawaiian ladyfish fish,100
Bandit goby,gladiator goby,Gladiogobius ensifer,,Gobi,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Gladiogobius ensifer ; Gladiogobius ensifer fish ; ikan Bandit goby ; gladiator goby fish,100
Bangkok,longjaw thryssa,Thryssa setirostris,bulu ayam; bido,Teri,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Thryssa setirostris ; Thryssa setirostris fish ; ikan Bangkok ; longjaw thryssa fish,100
Barakuda,pickhandle barracuda,Sphyraena jello ; Sphyraena putnamae,alu-alu [jakarta]; barakuda; dolo-dolo; domah; kacangan; kocol; kutul; lamsar; lole-lole; loli-loli; mawesi; ndoma; piskada; roma; senuk; tiroi; unate; walu-walu; wikil wanjo,Barakuda,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Sphyraena jello ; Sphyraena jello fish ; Sphyraena putnamae ; Sphyraena putnamae fish ; ikan Barakuda ; pickhandle barracuda fish,100
Baramundi,barramundi,Lates calcarifer ; Psammoperca waigiensis,kakap sejati; mata ulo; ringan,Kakap,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Lates calcarifer ; Lates calcarifer fish ; Psammoperca waigiensis ; Psammoperca waigiensis fish ; ikan Kakap putih ; barramundi fish,100
Barbatus puffer,thai puffer,Tetraodon barbatus,,Buntal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Tetraodon barbatus ; Tetraodon barbatus fish ; ikan Barbatus puffer ; thai puffer fish,100
Baronang batik,vermiculate rabbitfish,Siganus vermiculatus,burong; beronang tulis,Baronang,"LAUT, PAYAU",KONSUMSI,HIAS,TIDAK,HIGH,Siganus vermiculatus ; Siganus vermiculatus fish ; ikan Baronang batik ; vermiculate rabbitfish fish,100
Baronang forktail,schooling rabbitfish; silver spinefoot; streamlined spinefoot; forktail rabbitfish,Siganus argenteus,baronang,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus argenteus ; Siganus argenteus fish ; ikan Baronang forktail ; schooling rabbitfish; silver spinefoot; streamlined spinefoot; forktail rabbitfish fish,100
Baronang kalung,doublebar rabbitfish; barhead spinefoot,Siganus virgatus,kea-kea; kea biasa;  benaeng; samadar palsu; beronang kuning; masadar; lada,Baronang,"LAUT, PAYAU",KONSUMSI,HIAS,TIDAK,HIGH,Siganus virgatus ; Siganus virgatus fish ; ikan Baronang kalung ; doublebar rabbitfish; barhead spinefoot fish,100
Baronang kunyit,goldspotted spinefoot,Siganus puellus,sadar biasa kuning,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus puellus ; Siganus puellus fish ; ikan Baronang kunyit ; goldspotted spinefoot fish,100
Baronang lada,brown-spotted spinefoot,Siganus stellatus,,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus stellatus ; Siganus stellatus fish ; ikan Baronang lada ; brown-spotted spinefoot fish,100
Baronang manggilala,goldspotted spinefoot; yellowspotted spinefoot,Siganus punctatus,manggilala,Baronang,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Siganus punctatus ; Siganus punctatus fish ; ikan Baronang manggilala ; goldspotted spinefoot; yellowspotted spinefoot fish,100
Baronang marbled,surf parrotfish; rivulated rabbitfish; marbled spinefoot,Siganus rivulatus,baronang,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus rivulatus ; Siganus rivulatus fish ; ikan Baronang marbled ; surf parrotfish; rivulated rabbitfish; marbled spinefoot fish,100
Baronang susu,white-spotted spinefoot,Siganus canaliculatus,lingkis; sumadar; beronang lada; bala awes lawua; malalea; hiru; salamandar; maliate; pang-pange; samandar; kiwi susu,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus canaliculatus ; Siganus canaliculatus fish ; ikan Baronang susu ; white-spotted spinefoot fish,100
Baronang tompel,orange-spotted spinefoot,Siganus guttatus,barange; mulia asu; baronang hitam,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus guttatus ; Siganus guttatus fish ; ikan Baronang tompel ; orange-spotted spinefoot fish,100
Barong batu kaki,spotted ghoul,Inimicus sinensis,,Ikan batu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Inimicus sinensis ; Inimicus sinensis fish ; ikan Barong batu kaki ; spotted ghoul fish,100
Barong katkat palsu,cockatoo waspfish,Ablabys taenianotus,,Ikan tawon,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Ablabys taenianotus ; Ablabys taenianotus fish ; ikan Barong katkat palsu ; cockatoo waspfish fish,100
Barong kodok biasa kecil,new guinean frogfish,Antennatus dorehensis,,Ikan kodok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Antennatus dorehensis ; Antennatus dorehensis fish ; ikan Barong kodok biasa kecil ; new guinean frogfish fish,100
Barong kodok coklat,painted frogfish,Antennarius pictus,,Ikan kodok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Antennarius pictus ; Antennarius pictus fish ; ikan Barong kodok coklat ; painted frogfish fish,100
Barong kodok kuning,shaggy angler,Antennarius hispidus,,Ikan kodok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Antennarius hispidus ; Antennarius hispidus fish ; ikan Barong kodok kuning ; shaggy angler fish,100
Barong kodok merah kecil,scarlet frogfish,Antennatus coccineus,,Ikan kodok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Antennatus coccineus ; Antennatus coccineus fish ; ikan Barong kodok merah kecil ; scarlet frogfish fish,100
Barong kodok putih,warty frogfish,Antennarius maculatus,,Ikan kodok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Antennarius maculatus ; Antennarius maculatus fish ; ikan Barong kodok putih ; warty frogfish fish,100
Barong kodok strip asli,striated frogfish,Antennarius striatus,,Ikan kodok,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Antennarius striatus ; Antennarius striatus fish ; ikan Barong kodok strip asli ; striated frogfish fish,100
Barong lepo biasa,banded frogfish,Halophryne diemensis,,Buntal,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Halophryne diemensis ; Halophryne diemensis fish ; ikan Barong lepo biasa ; banded frogfish fish,100
Barong lepo zebra,three-spined frogfish,Batrachomoeus trispinosus,,Ikan kodok,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Batrachomoeus trispinosus ; Batrachomoeus trispinosus fish ; ikan Barong lepo zebra ; three-spined frogfish fish,100
Barong naga kecil hitam,slender seamoth,Pegasus volitans,belalang karang,Kuda laut,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Pegasus volitans ; Pegasus volitans fish ; ikan Barong naga kecil hitam ; slender seamoth fish,100
Barong radiata,radial firefish,Pterois radiata,,Ikan batu atau scorpion,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pterois radiata ; Pterois radiata fish ; ikan Barong radiata ; radial firefish fish,100
Barred short-bodied pipefish,barred shortbody pipefish,Choeroichthys cinctus,,Pipefish,LAUT,KONSUMSI,NON HIAS,YA,HIGH,Choeroichthys cinctus ; Choeroichthys cinctus fish ; ikan Barred short-bodied pipefish ; barred shortbody pipefish fish,100
