species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Makerel ular,snake mackerel,Gempylus serpens,Makerel ular; snake mackerel; Gempylus serpens; snake mackerel fish,50,LOW,Mackerel,LAUT,NON HIAS,gelang ruyung
Makerel pasifik,chub mackerel,Scomber japonicus,Makerel pasifik; chub mackerel; Scomber japonicus; chub mackerel fish,50,LOW,Kembung,"LAUT, PAYAU",NON HIAS,
Makerel kuda,horse mackerel,Trachurus trachurus,Makerel kuda; horse mackerel; Trachurus trachurus; horse mackerel fish,50,LOW,Slengseng,"LAUT, PAYAU",NON HIAS,
Makerel jack jepang,japanese jack mackerel,Trachurus japonicus,Makerel jack jepang; japanese jack mackerel; Trachurus japonicus; japanese jack mackerel fish,50,LOW,Slengseng,"LAUT, PAYAU",HIAS,
Mandarin datar kapuran,richardsoni dragonet,Repomucenus richardsonii,Mandarin datar kapuran; richardsoni dragonet; Repomucenus richardsonii; richardsoni dragonet fish,50,LOW,Mandarin,LAUT,NON HIAS,
Makerel atlantik,atlantic mackerel,Scomber scombrus,Makerel atlantik; atlantic mackerel; Scomber scombrus; atlantic mackerel fish,50,LOW,Kembung,"LAUT, PAYAU",NON HIAS,
Lumbalumba hidung botol indopasifik,acific ottlenose olphin,Tursiops Aduncus,Lumbalumba hidung botol indopasifik; acific ottlenose olphin; Tursiops Aduncus; acific ottlenose olphin fish,50,LOW,LUMB,LAUT,,
Lumba-lumba totol,pantropical spotted dolphin,Stenella attenuata,Lumba-lumba totol; pantropical spotted dolphin; Stenella attenuata; pantropical spotted dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba bercak
Lumba-lumba timah,indo-pacific humpback dolphin,Sousa chinensis,Lumba-lumba timah; indo-pacific humpback dolphin; Sousa chinensis; indo-pacific humpback dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba lumba punggung bungkuk indo pasifil; lumba-lumba totol; lumba-lumba babi laut;
Lumba-lumba tak bersirip,finless porpoises,Neophocaena phocaenoides,Lumba-lumba tak bersirip; finless porpoises; Neophocaena phocaenoides; finless porpoises fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba tanpa sirip
Lumba-lumba putih,indo-pacific humpback dolphin,Sousa chinensis,Lumba-lumba putih; indo-pacific humpback dolphin; Sousa chinensis; indo-pacific humpback dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba lumba punggung bungkuk indo pasifil; lumba-lumba totol; lumba-lumba babi laut;
Lumba-lumba paus kanan,southern right whale,Lissodelphis peronii,Lumba-lumba paus kanan; southern right whale; Lissodelphis peronii; southern right whale fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,
Lumba-lumba paruh panjang,spinner dolphin,Stenella longirostris,Lumba-lumba paruh panjang; spinner dolphin; Stenella longirostris; spinner dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba pemintal
Luna kerang,pila globosa,Pila globosa,Luna kerang; pila globosa; Pila globosa; pila globosa fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Lumba-lumba moncong panjang,long beaked common dolphin,Delphinus capensis,Lumba-lumba moncong panjang; long beaked common dolphin; Delphinus capensis; long beaked common dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba moncong panjang
Manggabai,tank goby,Glossogobius giuris,Manggabai; tank goby; Glossogobius giuris; tank goby fish,50,LOW,Gobi,"LAUT, PAYAU, TAWAR",NON HIAS,belosoh
Manyung besar,giant catfish,Arius thalassinus,Manyung besar; giant catfish; Arius thalassinus,50,LOW,Manyung,"PAYAU, TAWAR",NON HIAS,mangmung; manyong; manyung kerbo; duri utik; gaguk putih; duri padi; duri utek; gugup; barukang; wais; budun; jaan
Mata besar karang,bigeye sea perch,Helicolenus barathri,Mata besar karang; bigeye sea perch; Helicolenus barathri; bigeye sea perch fish,50,LOW,Mata besar,LAUT,NON HIAS,geurape brinchek itam; kerapu karang; keyapu
Mata besar,alfonsino,Beryx decadactylus,Mata besar; alfonsino; Beryx decadactylus; alfonsino fish,50,LOW,Mata besar,LAUT,NON HIAS,
Masked puffer,masked puffer,Arothron diadematus,Masked puffer; masked puffer; Arothron diadematus; masked puffer fish,50,LOW,Buntal,LAUT,NON HIAS,
Masadar karang,golden-lined spinefoot,Siganus lineatus,Masadar karang; golden-lined spinefoot; Siganus lineatus; golden-lined spinefoot fish,50,LOW,Baronang,LAUT,NON HIAS,masadar karang
Mas,common carp,Cyprinus carpio,Mas; common carp; Cyprinus carpio; common carp fish,50,LOW,Mas,TAWAR,NON HIAS,mas; karper; emas
Marmoyo,indian driftfish,Ariomma indica,Marmoyo; indian driftfish; Ariomma indica,50,LOW,Galuh,LAUT,NON HIAS,petek bayem
Marlin loreng,striped marlin,Tetrapturus audax,Marlin loreng; striped marlin; Tetrapturus audax; striped marlin fish,50,LOW,Marlin,"LAUT, PAYAU",NON HIAS,setuhuk loreng
Many-banded pipefish,many-banded pipefish,Dunckerocampus multiannulatus,Many-banded pipefish; many-banded pipefish; Dunckerocampus multiannulatus,50,LOW,Pipefish,LAUT,NON HIAS,
Marilyna darwinii,marilyna darwinii,Marilyna darwinii,Marilyna darwinii; marilyna darwinii; Marilyna darwinii; marilyna darwinii fish,50,LOW,Buntal,"LAUT, PAYAU",NON HIAS,
Marble-mouthed frogfish,marble-mouthed frogfish,Lophiocharon lithinostomus,Marble-mouthed frogfish; marble-mouthed frogfish; Lophiocharon lithinostomus,50,LOW,Ikan kodok,LAUT,NON HIAS,
Manyung utik,roughback sea catfish,Plicofollis tonggol,Manyung utik; roughback sea catfish; Plicofollis tonggol,50,LOW,Manyung,"PAYAU, TAWAR",NON HIAS,
Manyung threadfin,threadfin sea catfish,Arius arius,Manyung threadfin; threadfin sea catfish; Arius arius,50,LOW,Manyung,"LAUT, PAYAU",NON HIAS,sembilan
Manyung stirlings hardhead,stirlings hard--head catfish,Nemapteryx armiger,Manyung stirlings hardhead; stirlings hard--head catfish; Nemapteryx armiger,50,LOW,Manyung,"PAYAU, TAWAR",NON HIAS,
Manyung roundsnot,roundsnot sea catfish,Netuma bilineata,Manyung roundsnot; roundsnot sea catfish; Netuma bilineata,50,LOW,Manyung,"LAUT, PAYAU, TAWAR",NON HIAS,manyung; cotek; keting
Manyung hitam,blacktip sea catfish,Plicofollis dussumieri,Manyung hitam; blacktip sea catfish; Plicofollis dussumieri,50,LOW,Manyung,"LAUT, PAYAU",NON HIAS,gaguk hitam
Manyung dull hard head,dull hard head catfish,Brustiarius solidus,Manyung dull hard head; dull hard head catfish; Brustiarius solidus,50,LOW,Manyung,"PAYAU, TAWAR",NON HIAS,
Marbled octopus,marbled octopus,Amphioctopus aegina,Marbled octopus; marbled octopus; Amphioctopus aegina; marbled octopus fish,50,LOW,Gurita,"LAUT, PAYAU",NON HIAS,
Mata lebar,banded ilisha,Ilisha striatula,Mata lebar; banded ilisha; Ilisha striatula; banded ilisha fish,50,LOW,Sarden,LAUT,NON HIAS,
Lumba-lumba hitam,indo-pacific bottlenose dolphin,Tursiop aduncus,Lumba-lumba hitam; indo-pacific bottlenose dolphin; Tursiop aduncus; indo-pacific bottlenose dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba hidung botol samudera hindia; lumba-lumba hidung botol indo-pasifik
Lumba-lumba gigi kasar,rough toohed dolphin,Steno bredanensis,Lumba-lumba gigi kasar; rough toohed dolphin; Steno bredanensis; rough toohed dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba gigi pasar
Lobster karang,red swamp crayfish,Procambarus clarkii,Lobster karang; red swamp crayfish; Procambarus clarkii,50,LOW,Lobster,TAWAR,NON HIAS,lobster meksiko
Lobster bireng,scalloped spiny lobster,Panulirus homarus,Lobster bireng; scalloped spiny lobster; Panulirus homarus; scalloped spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,
Lobster batu,pronghorn spiny lobster,Panulirus penicillatus,Lobster batu; pronghorn spiny lobster; Panulirus penicillatus; pronghorn spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,
Lobster batok,blunt slipper lobster,Scyllarides squammosus,Lobster batok; blunt slipper lobster; Scyllarides squammosus; blunt slipper lobster fish,50,LOW,Lobster,LAUT,NON HIAS,udang kipas merah
Lobster batik,stripe-leg spiny lobster,Panulirus femoristriga,Lobster batik; stripe-leg spiny lobster; Panulirus femoristriga; stripe-leg spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,lobster batik
Lobster bambu coklat,grasy-blue spiny lobster; mud spiny lobster,Panulirus polyphagus,Lobster bambu coklat; grasy-blue spiny lobster; mud spiny lobster; Panulirus polyphagus; grasy-blue spiny lobster; mud spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,lobster jarak
Lobster bambu,painted spiny lobster;,Panulirus versicolor,Lobster bambu; painted spiny lobster;; Panulirus versicolor; painted spiny lobster; fish,50,LOW,Lobster,LAUT,NON HIAS,lobster kendal
Lobster kipas,blunt slipper lobster,Scyllarides squammosus,Lobster kipas; blunt slipper lobster; Scyllarides squammosus; blunt slipper lobster fish,50,LOW,Lobster,LAUT,NON HIAS,udang kipas merah
Lobster air tawar,freshwater lobster,Cherax albertisii,Lobster air tawar; freshwater lobster; Cherax albertisii; freshwater lobster fish,50,LOW,Udang,TAWAR,NON HIAS,huna (irian)
Lintah medis,asian buffalo leech,Hirudo manilensis,Lintah medis; asian buffalo leech; Hirudo manilensis; asian buffalo leech fish,50,LOW,Lintah,TAWAR,NON HIAS,
Lintah,leech,Hemiclepsis marginata,Lintah; leech; Hemiclepsis marginata; leech fish,50,LOW,Lintah,TAWAR,NON HIAS,
Linsang,oriental; asian small-clawed otter,Amblonyx cinere,Linsang; oriental; asian small-clawed otter; Amblonyx cinere; oriental; asian small-clawed otter fish,50,LOW,Berang-berang,TAWAR,NON HIAS,sero ambrang
Lindi,slender walking catfish,Clarias nieuhofi,Lindi; slender walking catfish; Clarias nieuhofi,50,LOW,Lele,TAWAR,NON HIAS,lindi (jakarta);leundi (jawa barat); limabat (sumatera); kaleh (kalimantan)
Lidah zebra,highfin zebra sole,Zebrias altipinnis,Lidah zebra; highfin zebra sole; Zebrias altipinnis; highfin zebra sole fish,50,LOW,Sebelah,LAUT,NON HIAS,kleket; ilat-ilat
Lidah velvety,velvety sole,Brachirus villosus,Lidah velvety; velvety sole; Brachirus villosus; velvety sole fish,50,LOW,Lidah,LAUT,NON HIAS,
Lidah ovate,ovate sole,Solea ovata,Lidah ovate; ovate sole; Solea ovata; ovate sole fish,50,LOW,Sebelah,LAUT,NON HIAS,kleket; ilat-ilat
Lobster,canada lobsters,Homarus americanus,Lobster; canada lobsters; Homarus americanus; canada lobsters fish,50,LOW,Lobster,LAUT,NON HIAS,tidak ada di indonesia
Lumba-lumba hidung botol,bottlenose dolphin,Tursiops truncatus,Lumba-lumba hidung botol; bottlenose dolphin; Tursiops truncatus; bottlenose dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba hidung botol biasa
Lobster kipas hitam,sculptured mitten lobster,Parribacus antarchicus,Lobster kipas hitam; sculptured mitten lobster; Parribacus antarchicus; sculptured mitten lobster fish,50,LOW,Lobster,LAUT,NON HIAS,
Lobster mexico,mini mexican crayfish,Procambarus mexicanus,Lobster mexico; mini mexican crayfish; Procambarus mexicanus,50,LOW,Lobster,"TAWAR, PAYAU",NON HIAS,
Lumba-lumba fraser,fraser dolphin,Lagenodelphis hosei,Lumba-lumba fraser; fraser dolphin; Lagenodelphis hosei; fraser dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba fraser
Lumba-lumba biasa,short beaked common dolphin,Delphinus delphis,Lumba-lumba biasa; short beaked common dolphin; Delphinus delphis; short beaked common dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba moncong pendek
Lumba-lumba bergaris,striped dolphin,Stenella coeruleoalba,Lumba-lumba bergaris; striped dolphin; Stenella coeruleoalba; striped dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba garis
Lumba-lumba abu-abu,rissoss dolphin,Grampus griseus,Lumba-lumba abu-abu; rissoss dolphin; Grampus griseus; rissoss dolphin fish,50,LOW,Lumba-lumba,LAUT,NON HIAS,lumba-lumba risso
Lukas,signal barb,Labiobarbus festivus,Lukas; signal barb; Labiobarbus festivus; signal barb fish,50,LOW,Barbus,TAWAR,HIAS,lukas; lambak
Lonjong,longfin silverbiddy; longfin majorra,Pentaprion longimanus,Lonjong; longfin silverbiddy; longfin majorra; Pentaprion longimanus; longfin silverbiddy; longfin majorra fish,50,LOW,Kapas-kapas,"LAUT, PAYAU",NON HIAS,lonjong; hajam; rengganis
Longnose gar,longnose gar,Lepisosteus osseus,Longnose gar; longnose gar; Lepisosteus osseus; longnose gar fish,50,LOW,Aligator,"PAYAU, TAWAR",HIAS,
Lobster merah,blunt slipper lobster,Scyllarides squammosus,Lobster merah; blunt slipper lobster; Scyllarides squammosus; blunt slipper lobster fish,50,LOW,Lobster,LAUT,NON HIAS,udang kipas merah
Lola putih,troque obelisque,Tectus pyramis,Lola putih; troque obelisque; Tectus pyramis; troque obelisque fish,50,LOW,Kerang,"LAUT, PAYAU, TAWAR",NON HIAS,
Lodem,chocolate surgeonfish; mimic surgeonfish,Acanthurus pyroferus,Lodem; chocolate surgeonfish; mimic surgeonfish; Acanthurus pyroferus,50,LOW,Lodem,LAUT,HIAS,lodem
Lobster zebra,crayfish; asian tiger lobster,Cherax misolicus,Lobster zebra; crayfish; asian tiger lobster; Cherax misolicus,50,LOW,Lobster,TAWAR,"HIAS, NON HIAS",lobster zebra
Lobster tape,blunt slipper lobster,Scyllarides squammosus,Lobster tape; blunt slipper lobster; Scyllarides squammosus; blunt slipper lobster fish,50,LOW,Lobster,LAUT,NON HIAS,udang kipas merah
Lobster pasir,scalloped spiny lobster,Panulirus homarus,Lobster pasir; scalloped spiny lobster; Panulirus homarus; scalloped spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,lobster kipas
Lobster pakistan,grasy-blue spiny lobster; mud spiny lobster,Panulirus polyphagus,Lobster pakistan; grasy-blue spiny lobster; mud spiny lobster; Panulirus polyphagus; grasy-blue spiny lobster; mud spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,lobster jarak
Lobster norway,norway lobster,Nephrops norvegicus,Lobster norway; norway lobster; Nephrops norvegicus; norway lobster fish,50,LOW,Udang,LAUT,NON HIAS,
Lobster mutiara,ornate spiny lobster,Panulirus ornatus,Lobster mutiara; ornate spiny lobster; Panulirus ornatus; ornate spiny lobster fish,50,LOW,Lobster,LAUT,NON HIAS,udang ketangan
Lola,top shells,Rochia nilotica,Lola; top shells; Rochia nilotica; top shells fish,50,LOW,Kerang,"LAUT, PAYAU, TAWAR",NON HIAS,susu bundar
Mata sebelah,javan flounder,Pseudorhombus javanicus,Mata sebelah; javan flounder; Pseudorhombus javanicus; javan flounder fish,50,LOW,Sebelah,LAUT,NON HIAS,
Matahari,aornte emperor,Lethrinus ornatus,Matahari; aornte emperor; Lethrinus ornatus; aornte emperor fish,50,LOW,Lencam,LAUT,NON HIAS,lencan matahari; asual; ija puti asuale; gotila; goto; dusun; katamba; ketampa; mantiros; sikuda; ling tjam; ramin
Matsukasa,firaun cuttle,Sepia pharaonis,Matsukasa; firaun cuttle; Sepia pharaonis; firaun cuttle fish,50,LOW,Cumi-cumi,"LAUT, PAYAU",NON HIAS,sotong firon; sotong firon; sotong firon
Paus bergigi sekop,long mans beaked whale,Indopacetus pacificus,Paus bergigi sekop; long mans beaked whale; Indopacetus pacificus; long mans beaked whale fish,50,LOW,Paus,LAUT,NON HIAS,
Paus bergigi ginko,ginko toothed whale,Mesoplodon ginkgodens,Paus bergigi ginko; ginko toothed whale; Mesoplodon ginkgodens; ginko toothed whale fish,50,LOW,Paus,LAUT,NON HIAS,
Paus bergigi blainveel,blainveel beaked whale,Mesoplodon densirostris,Paus bergigi blainveel; blainveel beaked whale; Mesoplodon densirostris; blainveel beaked whale fish,50,LOW,Paus,LAUT,NON HIAS,paus pauh blainville
Patotiâ€™s rainbowfish,patotiâ€™s rainbowfish,Melanotaenia patoti,Patotiâ€™s rainbowfish; patotiâ€™s rainbowfish; Melanotaenia patoti,50,LOW,Rainbow,TAWAR,HIAS,rainbow patoti ; pelangi patoti (aru; maluku)
Paten,catfish,Helicophagus typus,Paten; catfish; Helicophagus typus,50,LOW,Patin,TAWAR,NON HIAS,paten
Pasir-pasir,lattice monocle bream,Scolopsis taenioptera,Pasir-pasir; lattice monocle bream; Scolopsis taenioptera; lattice monocle bream fish,50,LOW,Pasir-pasir,LAUT,NON HIAS,pasir-pasir
Paruh bebek poso,duckbilled buntingi,Adrianichthys kruyti,Paruh bebek poso; duckbilled buntingi; Adrianichthys kruyti; duckbilled buntingi fish,50,LOW,Buntingi,TAWAR,HIAS,
Paus biru,blue whale,Balaenoptera musculus,Paus biru; blue whale; Balaenoptera musculus; blue whale fish,50,LOW,Paus,LAUT,NON HIAS,paus biru
Pare kembang,blue-spotted stingray,Dasyatis kuhlii,Pare kembang; blue-spotted stingray; Dasyatis kuhlii; blue-spotted stingray fish,50,LOW,Pari,LAUT,NON HIAS,pe kembang; pare kembang
Pao hilgendorfii,pao hilgendorfii; higendorf pao,Pao hilgendorfii,Pao hilgendorfii; pao hilgendorfii; higendorf pao; Pao hilgendorfii; pao hilgendorfii; higendorf pao fish,50,LOW,Buntal,TAWAR,HIAS,buntal pisang (sumatera selatan); buntal mahakam (kaltim)
Pao fangi,pao fangi,Pao fangi,Pao fangi; pao fangi; Pao fangi; pao fangi fish,50,LOW,Buntal,TAWAR,HIAS,
Pao cochinchinensis,pao cochinchinensis,Pao cochinchinensis,Pao cochinchinensis; pao cochinchinensis; Pao cochinchinensis; pao cochinchinensis fish,50,LOW,Buntal,TAWAR,HIAS,
Pao cambodgiensis,pao cambodgiensis; cambodian puffer,Pao cambodgiensis,Pao cambodgiensis; pao cambodgiensis; cambodian puffer; Pao cambodgiensis; pao cambodgiensis; cambodian puffer fish,50,LOW,Buntal,"PAYAU, TAWAR",HIAS,
Pao bergii,pao bergii; berg's puffer,Pao bergii,Pao bergii; pao bergii; berg's puffer; Pao bergii; pao bergii; berg's puffer fish,50,LOW,Buntal,PAYAU,HIAS,buntal duri (sumatera)
Pao abei,pao abei,Pao abei,Pao abei; pao abei; Pao abei; pao abei fish,50,LOW,Buntal,TAWAR,HIAS,
Petek jones,jones ponyfish,Eubleekeria jonesi,Petek jones; jones ponyfish; Eubleekeria jonesi,50,LOW,Peperek,LAUT,NON HIAS,cotek; terongtong
Paray,silver rasbora,Rasbora argyrotaenia,Paray; silver rasbora; Rasbora argyrotaenia; silver rasbora fish,50,LOW,Mas,TAWAR,"HIAS, NON HIAS",paray; teri; seluang
Pangkah,sailfin glass perchlet,Ambassis agrammus,Pangkah; sailfin glass perchlet; Ambassis agrammus; sailfin glass perchlet fish,50,LOW,Glassfish,LAUT,NON HIAS,sepengkah (sumatera selatan); lalang (kalimantan timur); pimping; sepimping; lunjar pari; repang; kedukul; kelampak
Paus bryde,pygny brydes whale,Balaenoptera edeni,Paus bryde; pygny brydes whale; Balaenoptera edeni; pygny brydes whale fish,50,LOW,Paus,LAUT,NON HIAS,paus bride
Paus gembala laut,omurai whale,Balaenoptera omurai,Paus gembala laut; omurai whale; Balaenoptera omurai; omurai whale fish,50,LOW,Paus,LAUT,NON HIAS,paus omura
Pelangi,ray-finned fishes,Crenicichla wallacii,Pelangi; ray-finned fishes; Crenicichla wallacii,50,LOW,Siklid,TAWAR,HIAS,pelangi mata biru; pelangi sungai kopi (papua)
Pe sapi,mangrove whipray,Himantura granulata,Pe sapi; mangrove whipray; Himantura granulata; mangrove whipray fish,50,LOW,Pari,LAUT,NON HIAS,pe sapi (jawa)
Paus sperma kogia,pygmy sperm whale,Kogia breviceps,Paus sperma kogia; pygmy sperm whale; Kogia breviceps; pygmy sperm whale fish,50,LOW,Paus,LAUT,NON HIAS,paus sperma palsu
Paus sperma kerdil,dwarf sperm whale,Kogia sima,Paus sperma kerdil; dwarf sperm whale; Kogia sima; dwarf sperm whale fish,50,LOW,Paus,LAUT,NON HIAS,paus sperma kerdil
Paus sperma,sperm whale,Physeter macrocephalus,Paus sperma; sperm whale; Physeter macrocephalus; sperm whale fish,50,LOW,Paus,LAUT,NON HIAS,paus kepala kotak; paus spermaseti
Paus sirip,fin whale,Balaenoptera physalus,Paus sirip; fin whale; Balaenoptera physalus; fin whale fish,50,LOW,Paus,LAUT,NON HIAS,paus sirip
Paus sei,sei whale,Balaenoptera borealis,Paus sei; sei whale; Balaenoptera borealis; sei whale fish,50,LOW,Paus,LAUT,NON HIAS,paus sci
Paus bungkuk,humpback whale,Megaptera novaeangliae,Paus bungkuk; humpback whale; Megaptera novaeangliae; humpback whale fish,50,LOW,Paus,LAUT,NON HIAS,paus bungkuk
Paus pembunuh palsu,false killer whale,Pseudorca crassidens,Paus pembunuh palsu; false killer whale; Pseudorca crassidens; false killer whale fish,50,LOW,Paus,LAUT,NON HIAS,paus pembunuh palsu
Paus pembunuh,killer whale,Orcinus orca,Paus pembunuh; killer whale; Orcinus orca; killer whale fish,50,LOW,Paus,LAUT,NON HIAS,paus orca; paus pembunuh
Paus pemandu sirip pendek,short finned pilot whale,Globicephala macrorhynchus,Paus pemandu sirip pendek; short finned pilot whale; Globicephala macrorhynchus; short finned pilot whale fish,50,LOW,Paus,LAUT,NON HIAS,paus pemadu sirip pendek
Paus paruh curvier,cuviers beaked whale,Ziphius cavirostris,Paus paruh curvier; cuviers beaked whale; Ziphius cavirostris; cuviers beaked whale fish,50,LOW,Paus,LAUT,NON HIAS,paus moncong cuvier
Paus minke antartika,antartic minke whale,Balaenoptera bonaerensis,Paus minke antartika; antartic minke whale; Balaenoptera bonaerensis; antartic minke whale fish,50,LOW,Paus,LAUT,NON HIAS,
Paus minke,minke whale,Balaenoptera acutorostrata,Paus minke; minke whale; Balaenoptera acutorostrata; minke whale fish,50,LOW,Paus,LAUT,NON HIAS,paus minke
Paus kepala semangka,melon headed whale,Pephonacephala electra,Paus kepala semangka; melon headed whale; Pephonacephala electra; melon headed whale fish,50,LOW,Paus,LAUT,NON HIAS,paus kepala semangka
Paus kepala melon,melon headed whale,Peponocephala electra,Paus kepala melon; melon headed whale; Peponocephala electra; melon headed whale fish,50,LOW,Paus,LAUT,NON HIAS,paus kepala melon
Paus pembunuh kerdil,pygmy killer whale,Feresa attenuata,Paus pembunuh kerdil; pygmy killer whale; Feresa attenuata; pygmy killer whale fish,50,LOW,Paus,LAUT,NON HIAS,paus pembunuh kerdil
Palmas teugelsi,palmas teugelsi,Polypterus teugelsi,Palmas teugelsi; palmas teugelsi; Polypterus teugelsi; palmas teugelsi fish,50,LOW,Bichir,TAWAR,HIAS,
Palmas shortfin,shortfin bichir; marbled bichir; green polypterus,Polypterus palmas,Palmas shortfin; shortfin bichir; marbled bichir; green polypterus; Polypterus palmas; shortfin bichir; marbled bichir; green polypterus fish,50,LOW,Bichir,TAWAR,HIAS,
Palmas saddled,saddled bichir,Polypterus endlicheri,Palmas saddled; saddled bichir; Polypterus endlicheri; saddled bichir fish,50,LOW,Bichir,TAWAR,HIAS,
Nike,bichique; red-tailed goby; blue stream goby,Sicyopterus lagocephalus,Nike; bichique; red-tailed goby; blue stream goby; Sicyopterus lagocephalus; bichique; red-tailed goby; blue stream goby fish,50,LOW,Gobi,"LAUT, PAYAU, TAWAR",HIAS,nike; goby
New guinea minidartfish,new guinea minidartfish,Aioliops novaeguineae,New guinea minidartfish; new guinea minidartfish; Aioliops novaeguineae,50,LOW,Dartfish,LAUT,NON HIAS,
Neon tetra,neon tetra,Paracheirodon innesi,Neon tetra; neon tetra; Paracheirodon innesi; neon tetra fish,50,LOW,Tetra,TAWAR,HIAS,
Nautilus berongga,emperor nautilus,Nautilus pompilus,Nautilus berongga; emperor nautilus; Nautilus pompilus; emperor nautilus fish,50,LOW,Siput,LAUT,NON HIAS,
Napoleon maori,oriental maori wrase,Oxycheilinus orientalis,Napoleon maori; oriental maori wrase; Oxycheilinus orientalis; oriental maori wrase fish,50,LOW,Napoleon,LAUT,HIAS,napoleon merah
Napoleon,humphead wrasse,Cheilinus undulatus,Napoleon; humphead wrasse; Cheilinus undulatus; humphead wrasse fish,50,LOW,Bayeman,LAUT,NON HIAS,bayeman
Myer's pipefish,myer's pipefish,Minyichthys myersi,Myer's pipefish; myer's pipefish; Minyichthys myersi,50,LOW,Pipefish,LAUT,NON HIAS,
Nilem,silver sharkminnow; bonylip barb,Osteochilus vittatus,Nilem; silver sharkminnow; bonylip barb; Osteochilus vittatus; silver sharkminnow; bonylip barb fish,50,LOW,Barbus,TAWAR,NON HIAS,nilem; melem; puyau; palau; tembelikat
Moorish Idol,Moorish idol,Zanclus cornutus,Moorish Idol; Moorish idol; Zanclus cornutus; Moorish idol fish,50,LOW,Surgeonfish,LAUT,HIAS,Tatape rambai; Buku nuo'o; Ikan hias
Mola,silver carp,Hypopthalmichthys molitrix,Mola; silver carp; Hypopthalmichthys molitrix; silver carp fish,50,LOW,Chinese carp,TAWAR,NON HIAS,mola
Moa,slender conger,Uroconger lepturus,Moa; slender conger; Uroconger lepturus; slender conger fish,50,LOW,Sidat,"LAUT, PAYAU, TAWAR",NON HIAS,
Minnow sarasins,sarasins minnow,Oryzias sarasinorum,Minnow sarasins; sarasins minnow; Oryzias sarasinorum; sarasins minnow fish,50,LOW,Bilis,TAWAR,NON HIAS,rono (sulawesi)
Messmate pipefish,messmate pipefish,Corythoichthys haematopterus,Messmate pipefish; messmate pipefish; Corythoichthys haematopterus,50,LOW,Pipefish,LAUT,NON HIAS,
Menoda catfish,menoda catfish,Hemibagrus menoda,Menoda catfish; menoda catfish; Hemibagrus menoda,50,LOW,Patin,TAWAR,NON HIAS,
Medaka,japanese ricefish,Oryzias latipes,Medaka; japanese ricefish; Oryzias latipes,50,LOW,Bilis,"PAYAU, TAWAR",HIAS,
Maxweber's pipefish,maxweber's pipefish,Cosmocampus maxweberi,Maxweber's pipefish; maxweber's pipefish; Cosmocampus maxweberi,50,LOW,Pipefish,LAUT,NON HIAS,
Money cowrie,money cowrie,Cypraea moneta,Money cowrie; money cowrie; Cypraea moneta; money cowrie fish,50,LOW,Kerang,"LAUT, PAYAU",NON HIAS,
Nudibranch,nudibranch,Phyllidia varicosa,Nudibranch; nudibranch; Phyllidia varicosa; nudibranch fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",NON HIAS,
Nuri-nuri,christmas wrasse; ladder wrasse ; green-barred wrasse,Thalassoma trilobatum,Nuri-nuri; christmas wrasse; ladder wrasse ; green-barred wrasse; Thalassoma trilobatum; christmas wrasse; ladder wrasse ; green-barred wrasse fish,50,LOW,Nuri-nuri,LAUT,HIAS,nuri
Ocellated pufferfish,ocellated pufferfish,Leiodon cutcutia,Ocellated pufferfish; ocellated pufferfish; Leiodon cutcutia,50,LOW,Buntal,"PAYAU, TAWAR",NON HIAS,
Palmas polli,polli bichir,Polypterus polli,Palmas polli; polli bichir; Polypterus polli; polli bichir fish,50,LOW,Bichir,TAWAR,HIAS,
Palmas nile,nile bichir,Polypterus bichir,Palmas nile; nile bichir; Polypterus bichir; nile bichir fish,50,LOW,Bichir,TAWAR,HIAS,
Palmas mottled,mottled bichir,Polypterus weeksii,Palmas mottled; mottled bichir; Polypterus weeksii; mottled bichir fish,50,LOW,Bichir,TAWAR,HIAS,
