species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Bawal,sailfin red hook,Myleus setiger,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myleus setiger ; Myleus setiger fish ; ikan Bawal ; sailfin red hook fish,50
Bawal,myloplus torquatus,Myloplus torquatus,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myloplus torquatus ; Myloplus torquatus fish ; ikan Bawal ; myloplus torquatus fish,50
Bawal,myloplus zorroi,Myloplus zorroi,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myloplus zorroi ; Myloplus zorroi fish ; ikan Bawal ; myloplus zorroi fish,50
Bawal air tawar,cachama,Colossoma macropomum,,Bawal,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Colossoma macropomum ; Colossoma macropomum fish ; ikan Bawal air tawar ; cachama fish,50
Bawal bintang,snubnose pompano,Trachinotus blochii,barung,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Trachinotus blochii ; Trachinotus blochii fish ; ikan Bawal bintang ; snubnose pompano fish,50
Bawal bintang,snubnose pompano,Trachinotus blochii,barung,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Trachinotus blochii ; Trachinotus blochii fish ; ikan Bawal bintang ; snubnose pompano fish,50
Bawal emas,golden pacu,Myleus micans,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myleus micans ; Myleus micans fish ; ikan Bawal emas ; golden pacu fish,50
Bawal hitam,black pomfret,Parastromateus niger,dorang hitam; dibas; kandibas; kapet; kibas; man riwasa leleng; peda-peda lotong,Bawal,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Parastromateus niger ; Parastromateus niger fish ; ikan Bawal hitam ; black pomfret fish,50
Bawal laut dalam,brilliant pomfret,Eumegistus illustris,,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Eumegistus illustris ; Eumegistus illustris fish ; ikan Bawal laut dalam ; brilliant pomfret fish,50
Bawal lonjong,pomfret,Taractes rubescens,,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Taractes rubescens ; Taractes rubescens fish ; ikan Bawal lonjong ; pomfret fish,50
Bawal paraguay,paraguay silver dollar,Mylossoma paraguayensis,,Bawal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Mylossoma paraguayensis ; Mylossoma paraguayensis fish ; ikan Bawal paraguay ; paraguay silver dollar fish,50
Bawal paraguay,paraguay silver dollar,Mylossoma duriventre,,Bawal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Mylossoma duriventre ; Mylossoma duriventre fish ; ikan Bawal paraguay ; paraguay silver dollar fish,50
Bawal perak,pacific rudderfish,Psenopsis anomala,,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Psenopsis anomala ; Psenopsis anomala fish ; ikan Bawal perak ; pacific rudderfish fish,50
Bawal perak,silver dollar,Metynnis hypsauchen,,Bawal,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Metynnis hypsauchen ; Metynnis hypsauchen fish ; ikan Bawal perak ; silver dollar fish,50
Bawal perak,silver dollar,Mylossoma aureum,,Bawal,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Mylossoma aureum ; Mylossoma aureum fish ; ikan Bawal perak ; silver dollar fish,50
Bawal pomfret,bigtooth pomfret; bigbelly pomfret,Brama orcini,berelah; sadap tipis; bawal pomfret,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Brama orcini ; Brama orcini fish ; ikan Bawal pomfret ; bigtooth pomfret; bigbelly pomfret fish,50
Bawal putih,silver pomfret,Pampus argenteus,dorang,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pampus argenteus ; Pampus argenteus fish ; ikan Bawal putih ; silver pomfret fish,50
Bawal sabit,sickle pomfret,Taractichthys steindachneri,bawal arit; gesper bulat,Bawal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Taractichthys steindachneri ; Taractichthys steindachneri fish ; ikan Bawal sabit ; sickle pomfret fish,50
Bawal tawar,pacu,Myleus pacu,,Bawal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Myleus pacu ; Myleus pacu fish ; ikan Bawal tawar ; pacu fish,50
Bawal tawar,pirapitinga,Piaractus brachypomus,,Bawal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Piaractus brachypomus ; Piaractus brachypomus fish ; ikan Bawal tawar ; pirapitinga fish,50
Belanak,mangrove mullet; flathead grey mullet,Mugil cephalus,blanak; gereh,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Mugil cephalus ; Mugil cephalus fish ; ikan Belanak ; mangrove mullet; flathead grey mullet fish,50
Belanak,longfinned mullet,Moolgarda perusii,belanak; bebenak,Belanak,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Moolgarda perusii ; Moolgarda perusii fish ; ikan Belanak ; longfinned mullet fish,50
Belanak,bluespot mullet,Moolgarda seheli,bebenak; gereh; tongkol blitar,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Moolgarda seheli ; Moolgarda seheli fish ; ikan Belanak ; bluespot mullet fish,50
Belanak,longarm mullet,Osteomugil cunnesius,bonte; belana; buyanak; bulanae; balana; lampangan,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Osteomugil cunnesius ; Osteomugil cunnesius fish ; ikan Belanak ; longarm mullet fish,50
Belanak,diamond mullet,Planiliza alata,belanak; bebenak,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Planiliza alata ; Planiliza alata fish ; ikan Belanak ; diamond mullet fish,50
Belanak,greenback mullet,Planiliza subviridis,belanak; bebenak; bale belana; gereh,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Planiliza subviridis ; Planiliza subviridis fish ; ikan Belanak ; greenback mullet fish,50
Belanak,speigler's mullet,Valamugil speigleri,belanak; ikan kadah,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Valamugil speigleri ; Valamugil speigleri fish ; ikan Belanak ; speigler's mullet fish,50
Belanak jebug,bluetail mullet,Crenimugil buchanani,,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Crenimugil buchanani ; Crenimugil buchanani fish ; ikan Belanak jebug ; bluetail mullet fish,50
Belanak sipit,tade gray mullet,Chelon planiceps,belanak; bebenak; belanak sipit,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Chelon planiceps ; Chelon planiceps fish ; ikan Belanak sipit ; tade gray mullet fish,50
Belanak squaretail,squaretail mullet,Ellochelon vaigiensis,belanak; bebenak; belanak jumpul,Belanak,"LAUT, PAYAU, TAWAR",KONSUMSI,HIAS,TIDAK,HIGH,Ellochelon vaigiensis ; Ellochelon vaigiensis fish ; ikan Belanak squaretail ; squaretail mullet fish,50
Betok batunas,batunas damsel fish,Amblyglyphidodon batunai,padi-padi; tibok,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Amblyglyphidodon batunai ; Amblyglyphidodon batunai fish ; ikan Betok batunas ; batunas damsel fish fish,50
Bichir,palmas teugelsi,Polypterus teugelsi,,Bichir,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Polypterus teugelsi ; Polypterus teugelsi fish ; ikan Bichir ; palmas teugelsi fish,50
Black-mast shrimp-goby,lachner's shrimp goby,Myersina lachneri,,Gobi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Myersina lachneri ; Myersina lachneri fish ; ikan Black-mast shrimp-goby ; lachner's shrimp goby fish,50
Bluestone asli,emperor angelfish,Pomacanthus imperator,kepe-kepe kambungan roti,Angel,LAUT,NON KONSUMSI,HIAS,TIDAK,HIGH,Pomacanthus imperator ; Pomacanthus imperator fish ; ikan Bluestone asli ; emperor angelfish fish,50
Bluestone biasa,koran angelfish; semicircle angelfish,Pomacanthus semicirculatus,kambing-kambing ungu,Angel,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Pomacanthus semicirculatus ; Pomacanthus semicirculatus fish ; ikan Bluestone biasa ; koran angelfish; semicircle angelfish fish,50
Buntal mas,greenbottle pufferfish,Auriglobus nefastus,,Buntal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Auriglobus nefastus ; Auriglobus nefastus fish ; ikan Buntal mas ; greenbottle pufferfish fish,50
Cakalang,skipjack tuna,Katsuwonus pelamis,wandan; tongkol krai; buambu clorengan; japak; kausa; sowone; cakaleng; buju; buanbee; corengan; japal; cahalang dolangan; hetung; ame-ame; bakulan; balang; tjakalong; turingah; wandan,Cakalang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Katsuwonus pelamis ; Katsuwonus pelamis fish ; ikan Cakalang ; skipjack tuna fish,50
Cupang betta,comet,Calloplesiops altivelis,,Cupang,LAUT,NON KONSUMSI,HIAS,TIDAK,HIGH,Calloplesiops altivelis ; Calloplesiops altivelis fish ; ikan Cupang betta ; comet fish,50
Cupang bettah,tussys betta,Betta tussyae,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta tussyae ; Betta tussyae fish ; ikan Cupang bettah ; tussys betta fish,50
Cupang bintik,spotted betta,Betta picta,cupang tutul; bintik; cupang sawah (jawa),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta picta ; Betta picta fish ; ikan Cupang bintik ; spotted betta fish,50
Cupang biru/hijau zamrut,blue betta,Betta smaragdina,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta smaragdina ; Betta smaragdina fish ; ikan Cupang biru/hijau zamrut ; blue betta fish,50
Cupang borneo,borneo betta,Betta taeniata,emplasek (kalsel-kalteng),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta taeniata ; Betta taeniata fish ; ikan Cupang borneo ; borneo betta fish,50
Cupang brunei,spotfin betta,Betta macrostoma,cupang brunei (kalimantan),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta macrostoma ; Betta macrostoma fish ; ikan Cupang brunei ; spotfin betta fish,50
Cupang bulat,round tail paradisefish,Macropodus ocellatus,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Macropodus ocellatus ; Macropodus ocellatus fish ; ikan Cupang bulat ; round tail paradisefish fish,50
Cupang ceylonese combtail,ceylonese combtail,Belontia signata,ekor ceylon (nama perdagangan),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Belontia signata ; Belontia signata fish ; ikan Cupang ceylonese combtail ; ceylonese combtail fish,50
Cupang claret,claret betta,Betta coccina,cupang alam (jambi); cupang api api  (riau),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta coccina ; Betta coccina fish ; ikan Cupang claret ; claret betta fish,50
Cupang comet,comet,Calloplesiops altivelis,,Cupang,LAUT,NON KONSUMSI,HIAS,TIDAK,HIGH,Calloplesiops altivelis ; Calloplesiops altivelis fish ; ikan Cupang comet ; comet fish,50
Cupang compuncta,compuncta betta,Betta compuncta,melak (kalimantan timur),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta compuncta ; Betta compuncta fish ; ikan Cupang compuncta ; compuncta betta fish,50
Cupang crescent,crescent betta,Betta imbellis,cupang pelaga (medan); cupang adu (jambi),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta imbellis ; Betta imbellis fish ; ikan Cupang crescent ; crescent betta fish,50
Cupang edithae,edithae betta,Betta edithae,emplasek (kalimantan selatan),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta edithae ; Betta edithae fish ; ikan Cupang edithae ; edithae betta fish,50
Cupang eyespot mouthbrooder,eyespot mouthbrooder,Betta ocellata,bettah; cupang tarakan (kalimantan timur),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta ocellata ; Betta ocellata fish ; ikan Cupang eyespot mouthbrooder ; eyespot mouthbrooder fish,50
Cupang giant,giant betta; pearl betta,Betta anabatoides,melantau (kalsel dan kalteng),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta anabatoides ; Betta anabatoides fish ; ikan Cupang giant ; giant betta; pearl betta fish,50
Cupang howong,howong betta,Betta unimaculata,cupang howong (kaltim),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta unimaculata ; Betta unimaculata fish ; ikan Cupang howong ; howong betta fish,50
Cupang merakan,comet,Calloplesiops altivelis,,Cupang,LAUT,NON KONSUMSI,HIAS,TIDAK,HIGH,Calloplesiops altivelis ; Calloplesiops altivelis fish ; ikan Cupang merakan ; comet fish,50
Cupang paradis,round tail paradisefish,Macropodus ocellatus,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Macropodus ocellatus ; Macropodus ocellatus fish ; ikan Cupang paradis ; round tail paradisefish fish,50
Cupang patoti,bettafish; tiger betta,Betta patoti,cupang tempala (kalmantan timur),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta patoti ; Betta patoti fish ; ikan Cupang patoti ; bettafish; tiger betta fish,50
Cupang penang,penang betta,Betta pugnax,cupang penang (sumatera; riau),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta pugnax ; Betta pugnax fish ; ikan Cupang penang ; penang betta fish,50
Cupang siamese fighter,siamese fighting fish,Betta splendens,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta splendens ; Betta splendens fish ; ikan Cupang siamese fighter ; siamese fighting fish fish,50
Cupang slim,slim betta; slender betta,Betta bellica,tampala (kalimantan barat),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta bellica ; Betta bellica fish ; ikan Cupang slim ; slim betta; slender betta fish,50
Cupang surga,round tail paradisefish,Macropodus ocellatus,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Macropodus ocellatus ; Macropodus ocellatus fish ; ikan Cupang surga ; round tail paradisefish fish,50
Cupang toba,toba betta,Betta rubra,cupang pelaga; laga (sumatera utara),Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta rubra ; Betta rubra fish ; ikan Cupang toba ; toba betta fish,50
Cupang tussyae,tussys betta,Betta tussyae,,Cupang,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Betta tussyae ; Betta tussyae fish ; ikan Cupang tussyae ; tussys betta fish,50
Cupang-cupang,silver tripodfish,Triacanthus nieuhofii,,Buntal,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Triacanthus nieuhofii ; Triacanthus nieuhofii fish ; ikan Cupang-cupang ; silver tripodfish fish,50
Diskus merah,red discus; heckel discus,Symphysodon discus,,Diskus,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Symphysodon discus ; Symphysodon discus fish ; ikan Diskus merah ; red discus; heckel discus fish,50
Gabus,murrel,Ophiocephalus pleurophthalmus,kerandang,Gabus,"PAYAU, TAWAR",NON KONSUMSI,HIAS,TIDAK,HIGH,Ophiocephalus pleurophthalmus ; Ophiocephalus pleurophthalmus fish ; ikan Gabus ; murrel fish,50
Gabus,striped snakehead,Channa striata,gabus; aruan; ruan; kotok,Gabus,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Channa striata ; Channa striata fish ; ikan Gabus ; striped snakehead fish,50
Gabus,sleepy cod,Oxyeleotris lineolata,peloso (jawa); humen (papua),Gobi,"PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Oxyeleotris lineolata ; Oxyeleotris lineolata fish ; ikan Gabus ; sleepy cod fish,50
Gabus bangka,bangka snakehead,Channa bankanensis,,Gabus,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Channa bankanensis ; Channa bankanensis fish ; ikan Gabus bangka ; bangka snakehead fish,50
Gabus bintik biru,bluespotted snakehead,Channa cyanospilos,,Gabus,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Channa cyanospilos ; Channa cyanospilos fish ; ikan Gabus bintik biru ; bluespotted snakehead fish,50
Gabus hitam,black snakehead,Channa melasoma,gabus tobang (jabar);toman; tomang; buhung; tauman (kalsel),Gabus,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Channa melasoma ; Channa melasoma fish ; ikan Gabus hitam ; black snakehead fish,50
Gabus hutan,forest snakehead,Channa lucius,bujuk (sumatera); kehung (kalteng); gabus cina (betawi),Gabus,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Channa lucius ; Channa lucius fish ; ikan Gabus hutan ; forest snakehead fish,50
Gabus kaisar,emperor/darkfin snakehead,Channa marulioides,,Gabus,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Channa marulioides ; Channa marulioides fish ; ikan Gabus kaisar ; emperor/darkfin snakehead fish,50
Gabus kerdil,dwarf snake head,Channa gachua,gabus bogo (jakarta); gabus hejo dago (jabar),Gabus,TAWAR,KONSUMSI,"HIAS, NON HIAS",TIDAK,HIGH,Channa gachua ; Channa gachua fish ; ikan Gabus kerdil ; dwarf snake head fish,50
Gabus merah,snakehead gudgeon,Giuris margaritacea,,Gabus,"PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Giuris margaritacea ; Giuris margaritacea fish ; ikan Gabus merah ; snakehead gudgeon fish,50
Gabus sirip hitam,blackfinned snakehead,Channa melanoptera,,Gabus,TAWAR,KONSUMSI,NON HIAS,TIDAK,HIGH,Channa melanoptera ; Channa melanoptera fish ; ikan Gabus sirip hitam ; blackfinned snakehead fish,50
Glittering pipefish,glittering pipefish,Halicampus nitidus,,Pipefish,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Halicampus nitidus ; Halicampus nitidus fish ; ikan Glittering pipefish ; glittering pipefish fish,50
Green sergeant,batunas damsel fish,Amblyglyphidodon batunai,padi-padi; tibok,Betok,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Amblyglyphidodon batunai ; Amblyglyphidodon batunai fish ; ikan Green sergeant ; batunas damsel fish fish,50
Hiu teteri,sandbar shark,Carcharhinus plumbeus,hiu teteri (lombok); cucut lanjaman (jawa),Hiu,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Carcharhinus plumbeus ; Carcharhinus plumbeus fish ; ikan Hiu teteri ; sandbar shark fish,50
Jabingan campur,masked shrimpgoby,Amblyeleotris gymnocephala,,Gobi,"LAUT, PAYAU, TAWAR",KONSUMSI,HIAS,TIDAK,HIGH,Amblyeleotris gymnocephala ; Amblyeleotris gymnocephala fish ; ikan Jabingan campur ; masked shrimpgoby fish,50
Kakap,metallic blue paracaesio; saddle-back snapper,Paracaesio kusakarii,balimong; ikan sulir; pisang-pisang; lolosi,Kakap,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Paracaesio kusakarii ; Paracaesio kusakarii fish ; ikan Kakap ; metallic blue paracaesio; saddle-back snapper fish,50
Kakap,little fairy basslet,Sacura parva,betok laut,Kakap,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Sacura parva ; Sacura parva fish ; ikan Kakap ; little fairy basslet fish,50
Kakap,largemouth black bass,Micropterus salmoides,kakap hitam,Kakap,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Micropterus salmoides ; Micropterus salmoides fish ; ikan Kakap ; largemouth black bass fish,50
Kakap anggoli,goldbanded jobfish,Pristipomoides multidens,,Kakap,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Pristipomoides multidens ; Pristipomoides multidens fish ; ikan Kakap anggoli ; goldbanded jobfish fish,50
